 Mach Number             Cd Rocket - (Unpowered)
 0.00000000000000E+0000  3.69971388878668E-0001 
 8.40000000000000E-0003  4.25710402326529E-0001 
 1.68000000000000E-0002  4.06620922232207E-0001 
 2.52000000000000E-0002  3.94514274847282E-0001 
 3.36000000000000E-0002  3.85746440955430E-0001 
 4.20000000000000E-0002  3.78914145242547E-0001 
 5.04000000000000E-0002  3.73339329733411E-0001 
 5.88000000000000E-0002  3.68644234512182E-0001 
 6.72000000000000E-0002  3.64597375642941E-0001 
 7.56000000000000E-0002  3.61046901057352E-0001 
 8.40000000000000E-0002  3.57887960461935E-0001 
 9.24000000000000E-0002  3.55045206121253E-0001 
 1.00800000000000E-0001  3.52462727926581E-0001 
 1.09200000000000E-0001  3.50097933737711E-0001 
 1.17600000000000E-0001  3.47917656420751E-0001 
 1.26000000000000E-0001  3.45895582612773E-0001 
 1.34400000000000E-0001  3.44010499758992E-0001 
 1.42800000000000E-0001  3.42245068138471E-0001 
 1.51200000000000E-0001  3.40584940197518E-0001 
 1.59600000000000E-0001  3.39018115846607E-0001 
 1.68000000000000E-0001  3.37534461861851E-0001 
 1.76400000000000E-0001  3.36125347798263E-0001 
 1.84800000000000E-0001  3.34783366161739E-0001 
 1.93200000000000E-0001  3.33502114529442E-0001 
 2.01600000000000E-0001  3.32276023899063E-0001 
 2.10000000000000E-0001  3.31100222005275E-0001 
 2.18400000000000E-0001  3.29970423412453E-0001 
 2.26800000000000E-0001  3.28882840343457E-0001 
 2.35200000000000E-0001  3.27834109733636E-0001 
 2.43600000000000E-0001  3.26821233101959E-0001 
 2.52000000000000E-0001  3.25855620132044E-0001 
 2.60400000000000E-0001  3.24965397847607E-0001 
 2.68800000000000E-0001  3.24103036877435E-0001 
 2.77200000000000E-0001  3.23266610401214E-0001 
 2.85600000000000E-0001  3.22454371102521E-0001 
 2.94000000000000E-0001  3.21664730067306E-0001 
 3.02400000000000E-0001  3.20896238671352E-0001 
 3.10800000000000E-0001  3.20147572964525E-0001 
 3.19200000000000E-0001  3.19417520151451E-0001 
 3.27600000000000E-0001  3.18704966840996E-0001 
 3.36000000000000E-0001  3.18008888795057E-0001 
 3.44400000000000E-0001  3.17328341953705E-0001 
 3.52800000000000E-0001  3.16662454551441E-0001 
 3.61200000000000E-0001  3.16010420169812E-0001 
 3.69600000000000E-0001  3.15371491596627E-0001 
 3.78000000000000E-0001  3.14744975382433E-0001 
 3.86400000000000E-0001  3.14130227001800E-0001 
 3.94800000000000E-0001  3.13526646540897E-0001 
 4.03200000000000E-0001  3.12933674844462E-0001 
 4.11600000000000E-0001  3.12350790064949E-0001 
 4.20000000000000E-0001  3.11777504564764E-0001 
 4.28400000000000E-0001  3.11213362129315E-0001 
 4.36800000000000E-0001  3.10657935454405E-0001 
 4.45200000000000E-0001  3.10110823876334E-0001 
 4.53600000000000E-0001  3.09571651317295E-0001 
 4.62000000000000E-0001  3.09040064422116E-0001 
 4.70400000000000E-0001  3.08515730865517E-0001 
 4.78800000000000E-0001  3.07998337811569E-0001 
 4.87200000000000E-0001  3.07487590509341E-0001 
 4.95600000000000E-0001  3.06983211010627E-0001 
 5.04000000000000E-0001  3.06484936997304E-0001 
 5.12400000000000E-0001  3.05992520707349E-0001 
 5.20800000000000E-0001  3.05505727949776E-0001 
 5.29200000000000E-0001  3.05024337199864E-0001 
 5.37600000000000E-0001  3.04548138767009E-0001 
 5.46000000000000E-0001  3.04076934028358E-0001 
 5.54400000000000E-0001  3.03610534722127E-0001 
 5.62800000000000E-0001  3.03148762295160E-0001 
 5.71200000000000E-0001  3.02739224266296E-0001 
 5.79600000000000E-0001  3.02357947243544E-0001 
 5.88000000000000E-0001  3.01979621324591E-0001 
 5.96400000000000E-0001  3.01604137141108E-0001 
 6.04800000000000E-0001  3.01187510960355E-0001 
 6.13200000000000E-0001  3.00740722271015E-0001 
 6.21600000000000E-0001  3.00296618476337E-0001 
 6.30000000000000E-0001  2.99855112434145E-0001 
 6.38400000000000E-0001  2.99416121274515E-0001 
 6.46800000000000E-0001  2.98979566162155E-0001 
 6.55200000000000E-0001  2.98545372074373E-0001 
 6.63600000000000E-0001  2.98113467593436E-0001 
 6.72000000000000E-0001  2.97683784712227E-0001 
 6.80400000000000E-0001  2.97455458609071E-0001 
 6.88800000000000E-0001  2.97246409309923E-0001 
 6.97200000000000E-0001  2.97035778876255E-0001 
 7.05600000000000E-0001  2.96823591490052E-0001 
 7.14000000000000E-0001  2.96609871119465E-0001 
 7.22400000000000E-0001  2.96394641520370E-0001 
 7.30800000000000E-0001  2.96177926237933E-0001 
 7.39200000000000E-0001  2.95959748608154E-0001 
 7.47600000000000E-0001  2.95740131759415E-0001 
 7.56000000000000E-0001  2.95519098614015E-0001 
 7.64400000000000E-0001  2.95296671889696E-0001 
 7.72800000000000E-0001  2.95072874101166E-0001 
 7.81200000000000E-0001  2.94847727561611E-0001 
 7.89600000000000E-0001  2.94621254384199E-0001 
 7.98000000000000E-0001  2.94393476483578E-0001 
 8.06400000000000E-0001  2.94161261600921E-0001 
 8.14800000000000E-0001  2.93917249195329E-0001 
 8.23200000000000E-0001  2.93662353072082E-0001 
 8.31600000000000E-0001  2.93411211203040E-0001 
 8.40000000000000E-0001  2.93271306667756E-0001 
