 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing      
 0.00000000000000E+0000  3.27309091246388E+0002  1.26737128220593E+0002  4.21900631339857E+0002  4.20294382289481E+0002 
 7.66000000000000E-0003  3.28030472649109E+0002  1.24732855560416E+0002  4.21900610423327E+0002  4.20294344482122E+0002 
 1.53200000000000E-0002  3.28748255458838E+0002  1.22769195898157E+0002  4.21900547663631E+0002  4.20294231045219E+0002 
 2.29800000000000E-0002  3.29315785255037E+0002  1.20846285531443E+0002  4.21900443030446E+0002  4.20294041934279E+0002 
 3.06400000000000E-0002  3.29819556775033E+0002  1.18964243451929E+0002  4.21900296473187E+0002  4.20293777075097E+0002 
 3.83000000000000E-0002  3.30294807255312E+0002  1.17123170283798E+0002  4.21900107920951E+0002  4.20293436363671E+0002 
 4.59600000000000E-0002  3.30756306499375E+0002  1.15323147223962E+0002  4.21899877282426E+0002  4.20293019666091E+0002 
 5.36200000000000E-0002  3.31211387633253E+0002  1.13564234988921E+0002  4.21899604445780E+0002  4.20292526818394E+0002 
 6.12800000000000E-0002  3.31664039636217E+0002  1.11846472773579E+0002  4.21899289278521E+0002  4.20291957626386E+0002 
 6.89400000000000E-0002  3.32116531004151E+0002  1.10169877227598E+0002  4.21898931627335E+0002  4.20291311865430E+0002 
 7.66000000000000E-0002  3.32570158703286E+0002  1.08534441455151E+0002  4.21898531317893E+0002  4.20290589280201E+0002 
 8.42600000000000E-0002  3.33025632583122E+0002  1.06940134044186E+0002  4.21898088154635E+0002  4.20289789584405E+0002 
 9.19200000000000E-0002  3.33483289178846E+0002  1.05386898131543E+0002  4.21897601920527E+0002  4.20288912460464E+0002 
 9.95800000000000E-0002  3.33943218348309E+0002  1.03874650510414E+0002  4.21897072376783E+0002  4.20287957559168E+0002 
 1.07240000000000E-0001  3.34405342198511E+0002  1.02403280786834E+0002  4.21896499262569E+0002  4.20286924499285E+0002 
