 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing  
 0.00000000000000E+0000  1.21441742993064E+0001  3.87927836927918E+0000  5.95220532776266E+0000  2.31269060226464E+0000 
 7.66000000000000E-0003  1.21435586242501E+0001  3.82335515036374E+0000  5.99203666502460E+0000  2.32816680886183E+0000 
 1.53200000000000E-0002  1.21421713174058E+0001  3.76860307160021E+0000  6.03046885853576E+0000  2.34309938726989E+0000 
 2.29800000000000E-0002  1.21207707692158E+0001  3.71500926774336E+0000  6.05365376848747E+0000  2.35210773298498E+0000 
 3.06400000000000E-0002  1.20905897951784E+0001  3.66256087354792E+0000  6.06969029913745E+0000  2.35833862249313E+0000 
 3.83000000000000E-0002  1.20562993763641E+0001  3.61124502376865E+0000  6.08195165871836E+0000  2.36310269387714E+0000 
 4.59600000000000E-0002  1.20199163139002E+0001  3.56104885316030E+0000  6.09189957053558E+0000  2.36696789020438E+0000 
 5.36200000000000E-0002  1.19824880466253E+0001  3.51195949647762E+0000  6.10029764343186E+0000  2.37023090671589E+0000 
 6.12800000000000E-0002  1.19446239696069E+0001  3.46396408847536E+0000  6.10759401628036E+0000  2.37306586485126E+0000 
 6.89400000000000E-0002  1.19067068742264E+0001  3.41704976390826E+0000  6.11407363271507E+0000  2.37558347760311E+0000 
 7.66000000000000E-0002  1.18689907063047E+0001  3.37120365753108E+0000  6.11992864449004E+0000  2.37785840428364E+0000 
 8.42600000000000E-0002  1.18316508244137E+0001  3.32641290409856E+0000  6.12529460646482E+0000  2.37994331385041E+0000 
 9.19200000000000E-0002  1.17948119780529E+0001  3.28266463836546E+0000  6.13027062590266E+0000  2.38187671378486E+0000 
 9.95800000000000E-0002  1.17585648805853E+0001  3.23994599508652E+0000  6.13493129795259E+0000  2.38368758754620E+0000 
 1.07240000000000E-0001  1.17229765287613E+0001  3.19824410901650E+0000  6.13933413755507E+0000  2.38539828218982E+0000 
 1.14900000000000E-0001  1.16880968977662E+0001  3.15754611491014E+0000  6.14352440107473E+0000  2.38702638178136E+0000 
 1.22560000000000E-0001  1.16539634368368E+0001  3.11783914752219E+0000  6.14753832395022E+0000  2.38858596536445E+0000 
 1.30220000000000E-0001  1.16206041776434E+0001  3.07911034160740E+0000  6.15140535928535E+0000  2.39008847675069E+0000 
 1.37880000000000E-0001  1.15872346024706E+0001  3.04134683192052E+0000  6.15456977909727E+0000  2.39131799145283E+0000 
 1.45540000000000E-0001  1.15546328893385E+0001  3.00453575321631E+0000  6.15760127621437E+0000  2.39249585990787E+0000 
 1.53200000000000E-0001  1.15229045900713E+0001  2.96866424024950E+0000  6.16058513213532E+0000  2.39365521768653E+0000 
 1.60860000000000E-0001  1.14920516435019E+0001  2.93371942777485E+0000  6.16353200844788E+0000  2.39480020727926E+0000 
 1.68520000000000E-0001  1.14620738956125E+0001  2.89968845054711E+0000  6.16645105951234E+0000  2.39593438555312E+0000 
 1.76180000000000E-0001  1.14329694800446E+0001  2.86655844332103E+0000  6.16935020649712E+0000  2.39706083022650E+0000 
 1.83840000000000E-0001  1.14047351165099E+0001  2.83431654085135E+0000  6.17223635228795E+0000  2.39818222337066E+0000 
 1.91500000000000E-0001  1.13773663474437E+0001  2.80294987789283E+0000  6.17511555192059E+0000  2.39930091763031E+0000 
 1.99160000000000E-0001  1.13508577276024E+0001  2.77244558920022E+0000  6.17799314912521E+0000  2.40041898927700E+0000 
 2.06820000000000E-0001  1.13252029773858E+0001  2.74279080952826E+0000  6.18087388674576E+0000  2.40153828111184E+0000 
 2.14480000000000E-0001  1.13003951078917E+0001  2.71397267363171E+0000  6.18376199680165E+0000  2.40266043745840E+0000 
 2.22140000000000E-0001  1.12764265237247E+0001  2.68597831626531E+0000  6.18666127452863E+0000  2.40378693293080E+0000 
 2.29800000000000E-0001  1.12532891081380E+0001  2.65879487218381E+0000  6.18957513969606E+0000  2.40491909625816E+0000 
 2.37460000000000E-0001  1.12309742940254E+0001  2.63240947614197E+0000  6.19250668773391E+0000  2.40605813014961E+0000 
 2.45120000000000E-0001  1.12094731234915E+0001  2.60680926289453E+0000  6.19545873263375E+0000  2.40720512796326E+0000 
 2.52780000000000E-0001  1.11887762981336E+0001  2.58198136719624E+0000  6.19843384316119E+0000  2.40836108777624E+0000 
 2.60440000000000E-0001  1.11688742217213E+0001  2.55791292380185E+0000  6.20143437359231E+0000  2.40952692432719E+0000 
 2.68100000000000E-0001  1.11497570366102E+0001  2.53459106746611E+0000  6.20446248993846E+0000  2.41070347920570E+0000 
 2.75760000000000E-0001  1.11314146549642E+0001  2.51200293294377E+0000  6.20752019243157E+0000  2.41189152958887E+0000 
 2.83420000000000E-0001  1.11138367856489E+0001  2.49013565498958E+0000  6.21060933489260E+0000  2.41309179576675E+0000 
 2.91080000000000E-0001  1.10970129574997E+0001  2.46897636835828E+0000  6.21373164148836E+0000  2.41430494765311E+0000 
 2.98740000000000E-0001  1.10809325395354E+0001  2.44851220780464E+0000  6.21688872128912E+0000  2.41553161044173E+0000 
 3.06400000000000E-0001  1.10655847585888E+0001  2.42873030808339E+0000  6.22008208096570E+0000  2.41677236953975E+0000 
 3.14060000000000E-0001  1.10509587147414E+0001  2.40961780394929E+0000  6.22331313590546E+0000  2.41802777488669E+0000 
 3.21720000000000E-0001  1.10370433948855E+0001  2.39116183015709E+0000  6.22658321997908E+0000  2.41929834474933E+0000 
 3.29380000000000E-0001  1.10238276846804E+0001  2.37334952146153E+0000  6.22989359415156E+0000  2.42058456906739E+0000 
 3.37040000000000E-0001  1.10113003791295E+0001  2.35616801261736E+0000  6.23324545409912E+0000  2.42188691241309E+0000 
 3.44700000000000E-0001  1.09994501919650E+0001  2.33960443837934E+0000  6.23663993696841E+0000  2.42320581661734E+0000 
 3.52360000000000E-0001  1.09882657640024E+0001  2.32364593350221E+0000  6.24007812739282E+0000  2.42454170310739E+0000 
 3.60020000000000E-0001  1.09777356705979E+0001  2.30827963274072E+0000  6.24356106286358E+0000  2.42589497499368E+0000 
 3.67680000000000E-0001  1.09678484283266E+0001  2.29349267084963E+0000  6.24708973853863E+0000  2.42726601893836E+0000 
 3.75340000000000E-0001  1.09585925009765E+0001  2.27927218258368E+0000  6.25066511156010E+0000  2.42865520683277E+0000 
 3.83000000000000E-0001  1.09499563049466E+0001  2.26560530269762E+0000  6.25428810494132E+0000  2.43006289730771E+0000 
 3.90660000000000E-0001  1.09419282141186E+0001  2.25247916594620E+0000  6.25795961107561E+0000  2.43148943709681E+0000 
 3.98320000000000E-0001  1.09344965642663E+0001  2.23988090708416E+0000  6.26168049491188E+0000  2.43293516227032E+0000 
 4.05980000000000E-0001  1.09276496570573E+0001  2.22779766086627E+0000  6.26545159683629E+0000  2.43440039935482E+0000 
 4.13640000000000E-0001  1.09213757636926E+0001  2.21621656204727E+0000  6.26927373529367E+0000  2.43588546635170E+0000 
 4.21300000000000E-0001  1.09156631282263E+0001  2.20512474538190E+0000  6.27314770917833E+0000  2.43739067366616E+0000 
 4.28960000000000E-0001  1.09104999706014E+0001  2.19450934562492E+0000  6.27707430002005E+0000  2.43891632495648E+0000 
 4.36620000000000E-0001  1.09058744894313E+0001  2.18435749753108E+0000  6.28105427398770E+0000  2.44046271791260E+0000 
 4.44280000000000E-0001  1.09017748645568E+0001  2.17465633585512E+0000  6.28508838373036E+0000  2.44203014497142E+0000 
 4.51940000000000E-0001  1.08981892594009E+0001  2.16539299535180E+0000  6.28917737007335E+0000  2.44361889397577E+0000 
 4.59600000000000E-0001  1.08951058231434E+0001  2.15655461077586E+0000  6.29332196358451E+0000  2.44522924878305E+0000 
 4.67260000000000E-0001  1.08925126927349E+0001  2.14812831688206E+0000  6.29752288602432E+0000  2.44686148982858E+0000 
 4.74920000000000E-0001  1.08903979947656E+0001  2.14010124842514E+0000  6.30178085169186E+0000  2.44851589464862E+0000 
 4.82580000000000E-0001  1.08887498472041E+0001  2.13246054015985E+0000  6.30609656867735E+0000  2.45019273836700E+0000 
 4.90240000000000E-0001  1.08875563610209E+0001  2.12519332684094E+0000  6.31047074003076E+0000  2.45189229414921E+0000 
 4.97900000000000E-0001  1.08868056417052E+0001  2.11828674322317E+0000  6.31490406485497E+0000  2.45361483362713E+0000 
 5.05560000000000E-0001  1.08865623617051E+0001  2.11180449507678E+0000  6.31939723933104E+0000  2.45536062729736E+0000 
 5.13220000000000E-0001  1.08870177968684E+0001  2.10593689428997E+0000  6.32395095768251E+0000  2.45712994489595E+0000 
 5.20880000000000E-0001  1.08881709677424E+0001  2.10068199890619E+0000  6.32856591308466E+0000  2.45892305575163E+0000 
 5.28540000000000E-0001  1.08900099713245E+0001  2.09602694368021E+0000  6.33324279852438E+0000  2.46074022911993E+0000 
 5.36200000000000E-0001  1.08925229054823E+0001  2.09195886336677E+0000  6.33798230761552E+0000  2.46258173450001E+0000 
 5.43860000000000E-0001  1.08956978700307E+0001  2.08846489272062E+0000  6.34278513537422E+0000  2.46444784193586E+0000 
 5.51520000000000E-0001  1.08995229677584E+0001  2.08553216649651E+0000  6.34765197895835E+0000  2.46633882230363E+0000 
 5.59180000000000E-0001  1.09039863054101E+0001  2.08314781944919E+0000  6.35258353837458E+0000  2.46825494758634E+0000 
 5.66840000000000E-0001  1.09090759946275E+0001  2.08129898633340E+0000  6.35758051715666E+0000  2.47019649113746E+0000 
 5.74500000000000E-0001  1.09147801528559E+0001  2.07997280190391E+0000  6.36264362301774E+0000  2.47216372793431E+0000 
 5.82160000000000E-0001  1.09210869042178E+0001  2.07915640091546E+0000  6.36777356847974E+0000  2.47415693482265E+0000 
 5.89820000000000E-0001  1.09279843803581E+0001  2.07883691812279E+0000  6.37297107148218E+0000  2.47617639075319E+0000 
 5.97480000000000E-0001  1.09354607212646E+0001  2.07900148828065E+0000  6.37823685597286E+0000  2.47822237701115E+0000 
 6.05140000000000E-0001  1.09435992212721E+0001  2.07963724614381E+0000  6.38364017407178E+0000  2.48032180105658E+0000 
 6.12800000000000E-0001  1.09526926426670E+0001  2.08073132646700E+0000  6.38940113234016E+0000  2.48256018385987E+0000 
 6.20460000000000E-0001  1.09627520249469E+0001  2.08227086400497E+0000  6.39553694647434E+0000  2.48494421446768E+0000 
 6.28120000000000E-0001  1.09737655492712E+0001  2.08424299351248E+0000  6.40204837007291E+0000  2.48747418568583E+0000 
 6.35780000000000E-0001  1.09857214089636E+0001  2.08663484974427E+0000  6.40893616549526E+0000  2.49015039372410E+0000 
 6.43440000000000E-0001  1.09986078102382E+0001  2.08943356745509E+0000  6.41620110438400E+0000  2.49297313839920E+0000 
 6.51100000000000E-0001  1.10124129729169E+0001  2.09262628139970E+0000  6.42384396818167E+0000  2.49594272333553E+0000 
 6.58760000000000E-0001  1.10271251311399E+0001  2.09620012633284E+0000  6.43186554864292E+0000  2.49905945616420E+0000 
 6.66420000000000E-0001  1.10427325340735E+0001  2.10014223700926E+0000  6.44026664834351E+0000  2.50232364872080E+0000 
 6.74080000000000E-0001  1.10592234466133E+0001  2.10443974818370E+0000  6.44904808118731E+0000  2.50573561724238E+0000 
 6.81740000000000E-0001  1.10765861500875E+0001  2.10907979461093E+0000  6.45821067291251E+0000  2.50929568256412E+0000 
 6.89400000000000E-0001  1.10948089429596E+0001  2.11404951104569E+0000  6.46775526159791E+0000  2.51300417031608E+0000 
